Description,Year,Population
Alabama,2020,4921532
Alaska,2020,731158
Arizona,2020,7421401
Arkansas,2020,3030522
California,2020,39368078
Colorado,2020,5807719
Connecticut,2020,3557006
Delaware,2020,986809
District of Columbia,2020,712816
Florida,2020,21733312
Georgia,2020,10710017
Hawaii,2020,1407006
Idaho,2020,1826913
Illinois,2020,12587530
Indiana,2020,6754953
Iowa,2020,3163561
Kansas,2020,2913805
Kentucky,2020,4477251
Louisiana,2020,4645318
Maine,2020,1350141
Maryland,2020,6055802
Massachusetts,2020,6893574
Michigan,2020,9966555
Minnesota,2020,5657342
Mississippi,2020,2966786
Missouri,2020,6151548
Montana,2020,1080577
Nebraska,2020,1937552
Nevada,2020,3138259
New Hampshire,2020,1366275
New Jersey,2020,8882371
New Mexico,2020,2106319
New York,2020,19336776
North Carolina,2020,10600823
North Dakota,2020,765309
Ohio,2020,11693217
Oklahoma,2020,3980783
Oregon,2020,4241507
Pennsylvania,2020,12783254
Rhode Island,2020,1057125
South Carolina,2020,5218040
South Dakota,2020,892717
Tennessee,2020,6886834
Texas,2020,29360759
Utah,2020,3249879
Vermont,2020,623347
Virginia,2020,8590563
Washington,2020,7693612
West Virginia,2020,1784787
Wisconsin,2020,5832655
Wyoming,2020,582328
