Description,Year,Population
Alabama,2018,4891628
Alaska,2018,736624
Arizona,2018,7164228
Arkansas,2018,3012161
California,2018,39437463
Colorado,2018,5697155
Connecticut,2018,3574561
Delaware,2018,966985
District of Columbia,2018,704147
Florida,2018,21254926
Georgia,2018,10519389
Hawaii,2018,1423102
Idaho,2018,1752074
Illinois,2018,12724685
Indiana,2018,6698481
Iowa,2018,3149900
Kansas,2018,2912748
Kentucky,2018,4464273
Louisiana,2018,4664450
Maine,2018,1340123
Maryland,2018,6042153
Massachusetts,2018,6885720
Michigan,2018,9987286
Minnesota,2018,5608762
Mississippi,2018,2982879
Missouri,2018,6125986
Montana,2018,1061818
Nebraska,2018,1925512
Nevada,2018,3030725
New Hampshire,2018,1355064
New Jersey,2018,8891730
New Mexico,2018,2093754
New York,2018,19544098
North Carolina,2018,10391358
North Dakota,2018,760062
Ohio,2018,11680892
Oklahoma,2018,3943488
Oregon,2018,4183538
Pennsylvania,2018,12809107
Rhode Island,2018,1059338
South Carolina,2018,5091702
South Dakota,2018,879386
Tennessee,2018,6778180
Texas,2018,28624564
Utah,2018,3155153
Vermont,2018,624802
Virginia,2018,8510920
Washington,2018,7526793
West Virginia,2018,1805953
Wisconsin,2018,5809319
Wyoming,2018,579054
