state_name,hate_crime_case_normalized,number_of_victims_normalized,number_of_offenders_normalized,median_income,mean_income
Alaska,13.67693439721647,16.412321276659764,12.309240957494824,82124.75,100988.25
Alabama,5.486096605691073,6.908417947907278,6.298851658386048,57348.5,75764.75
Arkansas,8.579380053997298,10.229260833612164,9.569308521766215,53488.0,72296.25
Arizona,37.863470792105154,46.487179442264335,30.85670751385082,65373.0,87342.0
California,34.01232846571784,40.08323698200354,31.446798088542707,81768.75,114240.25
Colorado,48.21169894755583,62.33083935362576,50.450099255835205,80220.25,104510.25
Connecticut,28.11353143626972,35.98532023842524,22.209689834653076,87434.25,121118.75
District of Columbia,157.1232968956926,176.76370900765414,137.482884783731,118452.25,161180.0
Delaware,13.173775269581045,18.2406119117276,10.133673284293112,73517.75,95177.25
Florida,5.015342346348316,5.475465497389446,8.052155143219773,61733.0,86446.5
Georgia,21.661963748516925,27.17082521904494,17.086807611976713,66063.25,89427.75
Hawaii,24.16478678840033,27.71843190434156,24.875515811588578,84727.5,107003.0
Iowa,11.379581427385151,14.856675752419504,10.115183491009024,66978.0,83852.5
Idaho,25.726457691198213,29.558057772866032,21.894857609530398,60622.5,78313.0
Illinois,4.846065908085224,6.434939976309888,5.958277755842489,74664.0,100015.5
Indiana,26.64711360686003,33.604971048651265,26.795153126898143,62854.25,80328.75
Kansas,40.49687607784323,51.135885894903744,45.98797791890672,65808.0,85250.25
Kentucky,37.52302473102357,54.27437505737337,32.609295301960955,56944.25,75451.75
Louisiana,12.916230923265104,15.930018138693626,14.638395046367116,57669.25,78792.0
Massachusetts,56.139239239326365,68.90475100434114,40.90766270152464,91908.75,122108.0
Maryland,7.430890243769529,8.751937398217446,5.614450406403645,93047.5,118584.0
Maine,61.47506075291396,69.62235796113147,34.070515598000505,63998.5,81730.0
Michigan,42.94362495365751,52.07416203492581,44.44865853848195,64823.0,84903.75
Minnesota,36.05933669910711,45.07417087388389,32.70086906536674,78599.25,100617.0
Missouri,20.15752782876765,28.77324536848286,20.48264924536068,62396.5,81870.0
Mississippi,8.08956224008068,9.774887706764156,11.123148080110935,51791.25,68882.5
Montana,24.061219144956816,27.762945167257865,21.28492462823103,61346.75,80522.0
Nebraska,50.06317249808006,578.5651172200797,60.90159128632419,67868.25,85693.75
North Carolina,25.46972060565486,32.63897529465401,20.941770275760664,61994.75,83455.25
North Dakota,27.439896825987933,39.1998526085542,19.599926304277098,72370.25,90628.25
New Hampshire,16.102175623501857,19.76176099247955,8.051087811750929,81711.25,103716.5
New Jersey,160.7678850613198,160.7678850613198,51.56280907428884,90625.0,121099.25
New Mexico,16.616666326420642,24.687618542110663,17.091428221461232,55865.5,74376.25
Nevada,52.258274412660015,69.7839152217838,68.50932316293843,65935.5,87675.25
New York,24.926595829625374,25.340315262482225,24.77145104230405,77237.0,111182.75
Ohio,41.81911615939395,50.96972030879098,33.010590669787454,64285.5,83481.5
Oklahoma,14.318791051911145,19.594135123667883,15.826032215270214,58524.5,77347.0
Oregon,68.60769061562317,84.40396302540583,44.559634111177935,69905.25,91472.25
Pennsylvania,6.492869499424795,7.979189023389507,4.146049198427881,69162.0,91490.0
Rhode Island,13.243466950455243,15.13539080052028,2.8378857750975524,76584.25,97621.0
South Carolina,18.780998229220167,21.46399797625162,18.014426872925466,59947.5,80225.0
South Dakota,19.042988987551485,21.283340633145777,19.042988987551485,65135.0,81420.5
Tennessee,14.230051138157243,17.424552414070092,13.939641931256077,59676.5,80325.25
Texas,16.24617401750411,18.90278108954881,16.859237187975964,68215.25,92100.5
Utah,16.616003241966855,19.07763335188787,15.38518818700635,73434.5,92880.25
Virginia,20.25478423241876,23.51417479855511,16.99539366628241,81418.5,109738.75
Vermont,112.29700311383549,120.31821762196655,32.084858032524416,69585.5,88292.25
Washington,59.26995018724625,71.87781239812976,46.40213205448884,80958.5,106793.75
Wisconsin,16.459056810320515,20.402372504459805,12.001395590858708,68683.75,86701.5
West Virginia,38.09978445607235,42.58211203913969,36.97920256030552,52312.75,68081.0
Wyoming,29.19316948523856,34.34490527675125,32.62766001291369,68757.0,86085.25
