state_name,hate_crime_case_normalized,number_of_victims_normalized,number_of_offenders_normalized,median_income,mean_income
Alaska,6.787723451856035,8.145268142227243,6.787723451856035,80505.5,98690.25
Arkansas,7.303726460836589,7.967701593639915,6.639751328033262,49529.0,66976.0
Arizona,23.58942233552589,30.98728851175591,18.14570948886607,59746.5,80022.25
California,27.00477969386621,32.126813025472764,27.689407911457184,74342.25,104043.75
Colorado,17.026041945497358,25.100247404186824,18.07919917923946,73383.5,95988.5
Connecticut,26.296935483825848,33.570555936798954,20.14233356207937,83400.25,115281.25
District of Columbia,302.4936554441047,336.5774476068207,362.1402917288577,106606.0,146793.5
Delaware,21.71698630278649,25.85355512236488,18.61455968810271,69616.75,89953.5
Florida,6.63375633488444,7.904050101138908,6.39851674854102,57105.5,80040.5
Georgia,3.612377106693174,4.182752439328938,3.0420017740574097,60315.75,81936.25
Hawaii,30.21568376686984,32.323754727349126,25.999541845911256,78662.25,99308.0
Iowa,5.079526334169339,7.301819105368424,2.539763167084669,62936.75,79049.25
Idaho,13.698051566315122,15.981060160700974,12.556547269122197,55153.5,71801.5
Illinois,8.723202185358616,11.552348840069518,10.294950326864674,69179.25,93292.75
Indiana,15.37662046066862,35.23186823997859,15.227332883380576,58719.25,74958.75
Kansas,25.74888043867853,34.67515899075375,23.00233319188615,61912.0,80465.0
Kentucky,52.41614928119316,67.64819266205271,45.696130142578646,52814.25,69952.5
Louisiana,9.647439676703575,12.863252902271435,9.218664579961196,54553.5,73550.5
Massachusetts,52.42734238394823,62.44808095594942,39.21158571652637,84590.0,112454.75
Maryland,7.944188106458078,8.937211619765339,6.620156755381732,87702.5,111458.75
Maine,14.924003244478309,16.416403568926135,16.416403568926135,59515.0,76156.0
Michigan,43.95588551284103,51.86594235911538,42.253721381364265,60143.5,79101.25
Minnesota,22.4648505320782,29.23996418460972,24.426067642021536,73198.5,93941.25
Missouri,10.773775846043396,14.365034461391197,12.242927097776583,58237.75,76446.25
Mississippi,3.352465855973373,3.687712441570711,3.017219270376036,48652.5,63981.0
Montana,11.301371798180105,11.301371798180105,10.359590814998429,57157.5,74317.75
Nebraska,20.25435312789533,22.851065067369092,10.386847757895042,63648.0,80303.5
North Carolina,13.47273378513184,20.97897117970529,12.221694219369596,57223.5,77243.25
North Dakota,13.156821417200176,15.788185700640213,10.525457133760142,69491.25,88802.25
New Hampshire,10.331615333297911,14.759450476139872,8.855670285683923,77341.75,97976.25
New Jersey,61.29290925387973,62.867406005355534,30.92761476113197,84527.5,113125.75
New Mexico,21.97010728098908,27.70143961516014,23.402940364531844,52506.5,70244.25
Nevada,12.5382540481238,15.177886479307755,11.21843783253182,61164.0,80333.75
New York,26.75999680312696,27.16932753816523,27.783323640722635,71483.0,103034.5
Ohio,31.162003723688223,36.2985977440764,26.11101960363986,60191.5,78331.75
Oklahoma,7.607478455621014,9.889721992307315,7.353895840433647,55180.75,72960.25
Oregon,32.98643397048144,43.742879830421046,24.859341542971524,63214.75,83192.75
Pennsylvania,5.30872292658653,6.08941747461396,3.356986556517952,64471.5,85386.25
Rhode Island,12.271815039203728,15.10377235594305,12.271815039203728,70170.0,90864.75
South Carolina,12.765868858782389,14.729848683210449,15.122644648096058,55654.5,73602.75
South Dakota,22.7431412371814,30.703240670194887,19.331670051604185,61337.25,77128.75
Tennessee,23.45762431803228,28.62125231256768,24.195285460108764,55102.75,74547.25
Texas,14.113752090686866,16.20985388633343,13.799336821339882,63308.5,86677.5
Utah,13.945440997631492,18.06568492874989,12.67767363421045,67600.25,85621.25
Virginia,17.624416631809485,22.324261066958684,15.74447885774981,75977.75,101325.75
Vermont,68.8218027471103,75.22383090963217,36.81166193450085,65078.75,82408.5
Washington,68.422235074088,95.2596942681963,69.61796345402352,73767.25,96838.25
Wisconsin,8.262586371999886,9.467546884583202,7.918311939833223,64120.25,81182.0
West Virginia,45.95911410762074,51.496356771189504,49.281459705762,48865.75,63667.5
