state_name,hate_crime_case_normalized,number_of_victims_normalized,number_of_offenders_normalized
Alaska,13.67693439721647,16.412321276659764,12.309240957494824
Alabama,5.486096605691073,6.908417947907278,6.298851658386048
Arkansas,8.579380053997298,10.229260833612164,9.569308521766217
Arizona,37.863470792105154,46.487179442264335,30.85670751385082
California,34.012328465717836,40.08323698200354,31.446798088542707
Colorado,48.21169894755583,62.330839353625755,50.450099255835205
Connecticut,28.113531436269717,35.98532023842524,22.209689834653073
District of Columbia,157.1232968956926,176.76370900765414,137.482884783731
Delaware,13.173775269581043,18.240611911727598,10.133673284293112
Florida,5.015342346348316,5.475465497389446,8.052155143219773
Georgia,21.661963748516925,27.17082521904494,17.086807611976713
Hawaii,24.164786788400335,27.71843190434156,24.875515811588578
Iowa,11.379581427385153,14.856675752419504,10.115183491009024
Idaho,25.726457691198213,29.558057772866032,21.894857609530394
Illinois,4.846065908085224,6.434939976309888,5.958277755842489
Indiana,26.64711360686003,33.604971048651265,26.795153126898146
Kansas,40.49687607784323,51.135885894903744,45.98797791890672
Kentucky,37.52302473102357,54.27437505737337,32.609295301960955
Louisiana,12.916230923265104,15.930018138693626,14.638395046367117
Massachusetts,56.139239239326365,68.90475100434114,40.907662701524636
Maryland,7.430890243769529,8.751937398217446,5.614450406403645
Maine,61.47506075291396,69.62235796113147,34.070515598000505
Michigan,42.943624953657505,52.07416203492581,44.44865853848195
Minnesota,36.05933669910711,45.07417087388389,32.70086906536674
Missouri,20.157527828767652,28.77324536848286,20.48264924536068
Mississippi,8.08956224008068,9.774887706764156,11.123148080110935
Montana,24.061219144956816,27.762945167257865,21.28492462823103
Nebraska,50.06317249808006,578.5651172200797,60.90159128632419
North Carolina,25.46972060565486,32.63897529465401,20.941770275760664
North Dakota,27.439896825987933,39.199852608554195,19.599926304277098
New Hampshire,16.102175623501857,19.76176099247955,8.051087811750929
New Jersey,160.7678850613198,160.7678850613198,51.562809074288836
New Mexico,16.616666326420642,24.687618542110666,17.091428221461232
Nevada,52.258274412660015,69.7839152217838,68.50932316293843
New York,24.926595829625374,25.340315262482225,24.77145104230405
Ohio,41.81911615939395,50.96972030879098,33.010590669787454
Oklahoma,14.318791051911145,19.594135123667883,15.826032215270214
Oregon,68.60769061562317,84.40396302540583,44.559634111177935
Pennsylvania,6.492869499424795,7.979189023389507,4.146049198427881
Rhode Island,13.243466950455245,15.135390800520279,2.8378857750975524
South Carolina,18.780998229220167,21.46399797625162,18.014426872925466
South Dakota,19.042988987551485,21.283340633145777,19.042988987551485
Tennessee,14.230051138157243,17.424552414070092,13.939641931256075
Texas,16.24617401750411,18.90278108954881,16.859237187975964
Utah,16.616003241966855,19.07763335188787,15.38518818700635
Virginia,20.25478423241876,23.51417479855511,16.99539366628241
Vermont,112.29700311383547,120.31821762196657,32.084858032524416
Washington,59.26995018724625,71.87781239812976,46.40213205448884
Wisconsin,16.459056810320515,20.402372504459805,12.001395590858708
West Virginia,38.09978445607235,42.58211203913969,36.97920256030552
Wyoming,29.19316948523856,34.34490527675125,32.62766001291369
