state_name,hate_crime_case_normalized,number_of_victims_normalized,number_of_offenders_normalized,median_income,mean_income
Alaska,5.398234507404354,5.398234507404354,2.699117253702177,79429.25,96527.0
Alabama,2.870035172281036,2.870035172281036,2.255027635363672,51197.75,67768.25
Arkansas,7.989733192847191,8.98844984195309,9.321355391655056,47546.75,63906.0
Arizona,37.45696705262477,50.65203499161758,34.33555313157271,57060.5,76445.0
California,27.810411796190355,33.45384088097487,25.77674365752927,70413.5,98614.25
Colorado,13.885375513069077,18.69185165220837,14.77546368698376,70051.5,91653.5
Connecticut,30.7664424259172,34.96186639308773,19.019255317839725,80458.0,111094.0
District of Columbia,276.8696230986732,296.9534299555718,268.2622773028595,99281.25,139831.5
Delaware,30.273231573519062,32.361040647554866,26.09761342544747,67042.75,87105.25
Florida,6.912303227583198,8.19942175961593,9.343527121422804,54590.75,76272.5
Georgia,2.591909345378736,22.17522439935141,1.9199328484286933,57370.0,77925.25
Hawaii,0.7013788406628592,0.7013788406628592,0.7013788406628592,75554.5,95321.0
Iowa,3.180930702152281,3.4990237723675097,2.226651491506597,60828.0,76438.5
Idaho,23.259262274348814,27.91111472921857,21.51481760377265,52921.0,68349.25
Illinois,6.651072900219117,8.137783313209274,6.964064566111782,66492.0,89463.5
Indiana,14.560043518018729,18.162528512167693,11.107662065292638,56436.5,72059.0
Kansas,26.452372674767734,30.23128305687741,25.765298059838702,59831.5,77295.75
Kentucky,85.28612372323306,109.07646349866124,79.45075736322238,50838.5,67096.75
Louisiana,8.986508041961857,11.340117291047106,9.84236595072013,53114.5,71313.5
Massachusetts,63.23249159328395,75.3253413680364,39.62957998473095,80952.75,107417.0
Maryland,16.920513069769246,19.07704904924964,14.432202324214948,84603.75,107720.0
Maine,23.95670424625096,32.191821330899735,23.208057238555615,56995.0,72977.75
Michigan,45.6060248866565,52.52210338595166,37.38691710488544,57725.0,75665.75
Minnesota,25.8561111008365,33.03836418440219,29.985906623886773,70183.75,89937.0
Missouri,17.181056592436867,23.56259189819913,19.1446059172868,55954.0,73281.75
Mississippi,16.38426655663573,21.7342311465576,19.39362163846678,46662.25,61445.25
Montana,19.926707671402895,23.7222710373844,21.82448935439365,55206.75,71760.25
Nebraska,21.38760708148887,21.38760708148887,10.432979064140913,61192.0,77188.25
North Carolina,16.154526021340715,23.16130839204271,14.69477969411113,54852.75,73842.75
North Dakota,19.821474585566,22.46433786364147,22.46433786364147,66767.5,85683.25
New Hampshire,12.588909171020331,17.032053584321623,9.626812895486136,74203.75,93539.75
New Jersey,56.704732718754535,57.49229845095946,21.939331111422888,81539.75,108818.75
New Mexico,3.344730902064368,6.689461804128736,3.822549602359278,51261.5,68124.75
Nevada,1.6823138679524927,2.3552394151334903,2.018776641542991,58658.5,76693.25
New York,28.27417931004776,29.1417985307532,31.591546918627373,68710.75,98895.0
Ohio,33.08843888231026,39.77470373417605,32.40266812827273,57869.0,75109.0
Oklahoma,7.372377785042818,9.406137174020149,7.372377785042818,53381.75,70354.25
Oregon,36.16816169772387,44.8485205051776,20.736412706695017,59946.5,78877.25
Pennsylvania,5.939969263785359,7.4249615797317,4.533134438151985,61898.75,81937.25
Rhode Island,10.411204727822716,11.357677884897509,4.732365785373961,67736.25,87527.75
South Carolina,16.709428215301777,19.09648938891632,17.902958802109048,53281.5,70091.25
South Dakota,17.167735644339455,18.31225135396209,16.023219934716824,58905.0,74288.75
Tennessee,20.10499872817267,31.87014613206631,21.296406060212533,52660.5,71335.0
Texas,6.503829624548054,7.882358729751174,7.776318029350935,60812.25,83262.75
Utah,15.143996855204056,19.654974641860584,10.310806369500634,64640.75,81764.5
Virginia,25.498727365600164,30.220713914785374,18.76989653301123,73180.5,97384.75
Vermont,49.589526691962654,57.58783744873083,27.194256573011774,62659.25,79423.25
Washington,68.92883380625425,87.37268191456836,62.19750237986223,70008.0,91528.5
Wisconsin,7.249945495945468,8.458269745269712,4.488061497490052,61619.25,77670.5
West Virginia,20.89424050260546,24.19333110828,19.24469519976818,47613.5,61937.25
Wyoming,6.896623068514502,39.65558264395839,6.896623068514502,64135.5,78827.25
