state_name,hate_crime_case_normalized,number_of_victims_normalized,number_of_offenders_normalized
Alaska,12.258540797785836,19.068841241000186,9.534420620500093
Alabama,47.9222534706999,52.8728994904003,44.555814177303624
Arizona,12.801317902560497,15.554289494508993,7.708320457455783
California,1.8649571260407771,2.197072778623381,1.7372203365859293
Colorado,49.042408261012994,67.28274256160027,53.17229527246671
Connecticut,24.562870599209848,28.426692940658587,13.799365505174071
District of Columbia,95.6950676668795,113.63789285441939,80.74271334392958
Delaware,8.956943970334601,10.94737596374229,10.94737596374229
Florida,0.04581257279331488,0.04581257279331488,0.04581257279331488
Georgia,22.061490565144013,26.881648167612454,15.943598223549456
Hawaii,23.494389677947197,26.258435522411574,23.494389677947197
Iowa,31.58531051643859,36.901649910294594,29.708955436254122
Idaho,22.05518627705305,33.607902898366554,24.680803690987936
Illinois,7.961238071838587,9.695369136991545,6.621227703311299
Indiana,19.373212013974545,25.830949351966055,17.61201092179504
Kansas,40.16444275920191,53.4391314677517,36.07992315657121
Kentucky,28.84665098148511,43.93566841795425,26.405780513820986
Louisiana,27.44700890277232,34.3627906735496,30.25654524715059
Massachusetts,58.22861958112591,73.39381288726682,34.765490315021125
Maryland,13.280190975624372,17.65293678467142,15.54754065438951
Maine,54.45681864717645,63.16990963072468,36.3045457647843
Michigan,40.8468081307863,50.012433369889564,40.6475554081971
Minnesota,42.195784588593725,54.10164911981519,39.21931845578836
Missouri,31.44336555521933,40.681880177113676,32.09168237079086
Mississippi,10.509949531900409,10.848980161961713,8.475765751532588
Montana,15.36755114456617,18.07947193478373,18.07947193478373
Nebraska,22.40834731308637,35.14036283188545,16.80626048481478
North Carolina,25.83787349568919,35.1130075710648,22.336037161108607
North Dakota,47.56187542902097,62.98734854113588,47.56187542902097
New Hampshire,24.50441620030198,27.387288694455155,15.135080594304164
New Jersey,23.73769160228447,26.866750949858332,17.587471505328953
New Mexico,22.677054647449754,28.81875694780073,24.094370562915362
Nevada,69.6033119734859,87.40141914478824,72.14589871224338
New York,29.913143109915392,30.416731377759085,29.30883718850296
Ohio,42.33130930739688,50.06654855834691,33.15102536121442
Oklahoma,18.54067360271596,22.298918251915136,20.795620392235467
Oregon,62.73052587211289,77.76705641823735,49.10367006468762
Pennsylvania,13.218507539813645,14.294432572124059,11.75832356739237
Rhode Island,17.320200367370568,20.966558339448582,14.585431888312055
South Carolina,20.411047691375714,24.454745818912414,22.33661822829795
South Dakota,29.01254681062841,32.360148365700915,23.433210885507563
Tennessee,19.80382446291813,23.67848577088037,19.22980056544224
Texas,18.336293302746682,22.26066603912789,17.79500051152169
Utah,32.64339960941723,41.02886005954276,22.760535507483574
Virginia,12.47492741729152,15.478150684417255,8.778652626982922
Vermont,60.280815862201145,71.10044947849366,44.8241964103547
Washington,74.41144230949347,96.63152577691164,53.224851096373804
Wisconsin,18.877226768723872,20.577877828969264,17.856836132576635
West Virginia,31.3633069470845,42.00442894698817,24.642598315566396
Wyoming,32.787847098189246,41.41622791350221,37.96487558737702
